gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or More Races (non-Hispanic),Hispanic or Latino,Source
G0900030496200,West Hartford,tract 4962,,4592,72,3295,167,3,523,0,17,105,482,2010 Census - Social Explorer
G0900030496300,West Hartford,tract 4963,,3565,73,2596,172,4,227,0,20,87,459,2010 Census - Social Explorer
G0900030496400,West Hartford,tract 4964,,2954,84,2479,88,1,182,1,7,47,149,2010 Census - Social Explorer
G0900030496500,West Hartford,tract 4965,,2700,90,2419,58,4,97,0,7,40,75,2010 Census - Social Explorer
G0900030496600,West Hartford,tract 4966,,2741,87,2372,86,4,126,2,7,37,107,2010 Census - Social Explorer
G0900030496700,West Hartford,tract 4967,,3979,49,1941,443,7,473,1,43,124,947,2010 Census - Social Explorer
G0900030496800,West Hartford,tract 4968,,3523,46,1634,441,2,444,1,21,94,886,2010 Census - Social Explorer
G0900030496900,West Hartford,tract 4969,,6332,70,4416,499,8,328,3,62,135,881,2010 Census - Social Explorer
G0900030497000,West Hartford,tract 4970,,4342,89,3857,94,1,128,1,12,65,184,2010 Census - Social Explorer
G0900030497100,West Hartford,tract 4971,,4070,79,3225,240,4,229,0,6,82,284,2010 Census - Social Explorer
G0900030497200,West Hartford,tract 4972,,2415,79,1913,134,2,183,2,8,41,132,2010 Census - Social Explorer
G0900030497300,West Hartford,tract 4973,,5207,78,4084,330,4,418,0,20,80,271,2010 Census - Social Explorer
G0900030497400,West Hartford,tract 4974,,3834,88,3365,67,5,197,4,1,49,146,2010 Census - Social Explorer
G0900030497500,West Hartford,tract 4975,,3841,81,3112,149,2,334,0,6,69,169,2010 Census - Social Explorer
G0900030497600,West Hartford,tract 4976,,2342,89,2077,51,1,92,0,0,42,79,2010 Census - Social Explorer
G0900030497700,West Hartford,tract 4977,,4140,90,3716,85,0,197,0,4,34,104,2010 Census - Social Explorer
G0900030500100,Hartford,tract 5001,,4099,6,242,675,10,79,1,55,61,2976,2010 Census - Social Explorer
