gisjoin,town,area,num,pop,pctwnh,White alone (non-Hispanic),Black or Af-Am alone (non-Hispanic),Am Indian alone (non-Hispanic),Asian alone (non-Hispanic),Native Hawaii or Pacific alone (non-Hispanic),Some Other Race alone (non-Hispanic),Two or more races (non-Hispanic),Hispanic or Latino,Source
G0900030510300,East Hartford,tract 5103,,4147,19,806,1401,0,36,0,0,123,1781,ACS 2014-18 - Social Explorer
G0900030510400,East Hartford,tract 5104,,6305,14,910,944,0,0,0,0,126,4325,ACS 2014-18 - Social Explorer
G0900030510500,East Hartford,tract 5105,,2964,28,819,708,0,408,0,0,88,941,ACS 2014-18 - Social Explorer
G0900030510600,East Hartford,tract 5106,,4527,15,698,1866,0,246,0,0,148,1569,ACS 2014-18 - Social Explorer
G0900030510700,East Hartford,tract 5107,,4716,45,2112,905,0,132,0,33,55,1479,ACS 2014-18 - Social Explorer
G0900030510800,East Hartford,tract 5108,,3138,50,1583,850,0,26,0,0,92,587,ACS 2014-18 - Social Explorer
G0900030510900,East Hartford,tract 5109,,3566,64,2277,414,0,96,0,0,5,774,ACS 2014-18 - Social Explorer
G0900030511000,East Hartford,tract 5110,,3742,53,1972,441,0,20,0,48,90,1171,ACS 2014-18 - Social Explorer
G0900030511100,East Hartford,tract 5111,,3300,53,1753,420,0,287,0,31,144,665,ACS 2014-18 - Social Explorer
G0900030511200,East Hartford,tract 5112,,3494,18,624,1121,6,59,0,0,77,1607,ACS 2014-18 - Social Explorer
G0900030511300,East Hartford,tract 5113,,3513,28,981,994,9,184,0,0,96,1249,ACS 2014-18 - Social Explorer
G0900030511400,East Hartford,tract 5114,,2303,55,1263,377,0,173,0,1,17,472,ACS 2014-18 - Social Explorer
G0900030514101,Manchester,tract 5141.01,,3575,85,3050,44,0,295,0,0,69,117,ACS 2014-18 - Social Explorer
G0900030514102,Manchester,tract 5141.02,,7957,28,2255,1020,40,3368,0,129,183,962,ACS 2014-18 - Social Explorer
G0900030514200,Manchester,tract 5142,,3112,60,1879,456,36,137,0,0,77,527,ACS 2014-18 - Social Explorer
G0900030514300,Manchester,tract 5143,,3959,69,2729,591,0,137,0,26,32,444,ACS 2014-18 - Social Explorer
G0900030514400,Manchester,tract 5144,,4119,62,2561,443,28,43,0,50,151,843,ACS 2014-18 - Social Explorer
G0900030514500,Manchester,tract 5145,,4603,57,2619,595,0,599,0,0,125,665,ACS 2014-18 - Social Explorer
G0900030514600,Manchester,tract 5146,,5415,49,2678,1262,42,250,0,0,120,1063,ACS 2014-18 - Social Explorer
G0900030514700,Manchester,tract 5147,,4205,48,2027,1330,0,204,0,0,149,495,ACS 2014-18 - Social Explorer
G0900030514800,Manchester,tract 5148,,3304,42,1383,549,49,93,0,0,210,1020,ACS 2014-18 - Social Explorer
G0900030514900,Manchester,tract 5149,,2905,80,2323,209,0,12,0,8,262,91,ACS 2014-18 - Social Explorer
G0900030515000,Manchester,tract 5150,,3205,71,2288,311,0,141,0,45,18,402,ACS 2014-18 - Social Explorer
G0900030515101,Manchester,tract 5151.01,,2587,68,1767,375,5,110,0,18,82,230,ACS 2014-18 - Social Explorer
G0900030515102,Manchester,tract 5151.02,,5931,50,2975,903,18,1350,0,0,206,479,ACS 2014-18 - Social Explorer
G0900030515200,Manchester,tract 5152,,3078,85,2603,2,0,133,0,0,72,268,ACS 2014-18 - Social Explorer
G0900030520100,Glastonbury,tract 5201,,5969,81,4813,93,0,651,0,0,16,396,ACS 2014-18 - Social Explorer
G0900030520201,Glastonbury,tract 5202.01,,3528,79,2796,131,0,367,0,34,51,149,ACS 2014-18 - Social Explorer
G0900030520202,Glastonbury,tract 5202.02,,4095,89,3642,26,0,287,0,0,21,119,ACS 2014-18 - Social Explorer
G0900030520301,Glastonbury,tract 5203.01,,4270,76,3234,164,5,382,0,0,90,395,ACS 2014-18 - Social Explorer
G0900030520302,Glastonbury,tract 5203.02,,4141,76,3141,79,72,343,0,13,54,439,ACS 2014-18 - Social Explorer
G0900030520400,Glastonbury,tract 5204,,8179,87,7108,62,0,541,0,53,169,246,ACS 2014-18 - Social Explorer
G0900030520501,Glastonbury,tract 5205.01,,4396,88,3886,36,0,230,0,0,102,142,ACS 2014-18 - Social Explorer
G0900030524100,Marlborough,tract 5241,,6394,94,6022,70,11,53,0,0,19,219,ACS 2014-18 - Social Explorer
G0900030524200,Rocky Hill,tract 5242,,6329,79,4984,630,0,306,0,48,185,176,ACS 2014-18 - Social Explorer
G0900030524300,Enfield,tract 5243,,6649,58,3879,1438,56,84,0,0,181,1011,ACS 2014-18 - Social Explorer
G0900030524400,Hartford,tract 5244,,3160,1,23,2068,0,0,0,0,96,973,ACS 2014-18 - Social Explorer
G0900030524501,Hartford,tract 5245.01,,2212,34,751,645,0,24,0,58,262,472,ACS 2014-18 - Social Explorer
G0900030524502,Hartford,tract 5245.02,,2264,43,978,667,0,46,0,0,95,478,ACS 2014-18 - Social Explorer
G0900030524600,Hartford,tract 5246,,3038,11,331,1588,0,488,0,16,111,504,ACS 2014-18 - Social Explorer
G0900030524700,Hartford,tract 5247,,3618,17,612,441,0,0,0,16,0,2549,ACS 2014-18 - Social Explorer
G0900030980000,Windsor Locks,tract 9800 (BDL),,0,0,0,0,0,0,0,0,0,0,ACS 2014-18 - Social Explorer
